view_count,likes,dislikes,comment_count
505571,5463,536,414
260690,39108,76,4314
263928,11923,111,962
508113,3767,80,513
102505,6659,66,388
593658,24311,1107,1457
228886,4948,279,529
170217,0,0,155
521596,13712,178,2880
2414647,60658,2287,4462
918304,18940,330,1450
408866,8631,365,434
121790,24126,93,490
27198,2112,111,0
757268,30632,149,4729
170845,2240,103,482
2437938,78880,1181,5341
1662769,15955,414,1027
168946,7760,38,433
192108,12272,72,1165
1194118,21815,293,1285
267834,14496,70,829
296322,8037,111,271
856037,0,0,1471
342026,14478,91,273
1122972,50788,2629,4884
656842,0,0,316
1141283,25561,533,1658
544120,14212,129,993
255561,19756,377,761
6017987,191376,1322,7535
123815,12314,159,0
224484,8177,57,679
46780,4232,114,533
54015,3479,39,291
25410,2884,71,158
208419,3009,657,221
145450,3083,78,201
173147,9033,57,884
48595,4863,39,1054
706675,64898,3799,4168
238399,6078,96,278
452862,5615,218,504
298962,24492,326,4989
383909,9971,137,720
1897546,20128,964,2626
32108,2031,66,107
170983,1686,321,106
1537314,22368,476,2004
167636,5006,50,235
600980,30672,465,8477
453580,10048,205,887
674281,6458,160,1023
337988,6424,125,135
28617,3930,78,205
184128,21697,191,741
71111,5120,56,618
294847,20245,159,2124
93139,5267,79,472
137363,5384,65,963
580602,29126,976,1315
595084,45887,537,8212
1541924,23188,708,2018
152656,29557,178,876
287289,8187,97,403
259040,18900,523,1245
174634,2380,70,469
56000,1465,18,221
58559,2747,53,292
805464,5778,405,2934
882468,12422,203,1031
139965,7113,48,516
36984,2185,9,1061
155700,12844,239,0
64856,3180,237,213
2561621,40639,869,1407
389664,27679,260,6122
647135,38534,384,2065
398768,7798,458,248
97600,2758,86,351
197856,6795,137,827
164279,2540,510,195
175894,26619,286,2884
677751,15519,335,994
79433,13265,61,342
310271,7718,221,2637
675474,39610,648,6911
284810,10560,218,673
139957,1384,73,45
50720,5103,72,804
245968,25271,1022,12367
127980,11061,258,1423
404110,8337,97,589
1364618,98943,784,4670
47234,2788,35,227
510044,6655,123,259
49310,6409,25,367
568354,29126,1114,1515
176461,5029,164,550
491453,40896,1363,5074
358609,9420,124,1738
288082,0,0,552
419158,11458,81,838
256570,5349,80,351
139069,5784,35,397
486322,0,0,743
72175,3636,41,276
233572,14859,1409,915
1414290,106167,3100,14449
996686,16547,391,1262
307983,10237,83,671
82173,2718,47,232
142834,7697,319,1137
100005,5929,172,747
386083,74598,515,8586
220898,7759,75,680
601671,13395,344,3820
138428,5060,91,559
852938,0,0,1741
116223,1481,49,127
2035824,57872,1859,2002
124082,1932,44,154
1270383,63832,1285,5852
99536,945,57,53
34711,3065,56,335
791216,13449,228,3992
118016,24354,167,2740
1057678,9562,374,1612
1821311,48550,205,1595
655970,4673,285,350
1500617,0,0,1675
131296,6254,113,439
870493,29288,182,2761
180112,3132,146,198
579530,54595,1309,7624
119101,3818,78,0
289163,6395,169,287
28734,3133,112,274
372632,6178,230,646
517625,32859,215,3114
627676,4824,296,2000
1006881,82639,539,4075
253760,25126,85,2955
191066,9811,255,1235
1544568,68625,1014,5133
160653,8602,115,586
35540,4213,35,589
346302,19898,303,2533
1094239,0,0,1676
505032,16423,104,1255
472880,0,0,752
316801,0,0,203
207940,5032,165,367
803983,57817,1183,3494
311773,20052,829,1260
193854,9098,69,1643
52352,12060,108,2630
418503,14801,153,896
3718089,28837,1104,6021
203507,4838,38,437
676203,32272,1304,2404
416528,19921,102,0
304992,8417,79,776
1551145,10304,644,2009
1675031,29876,497,2439
248473,2916,57,197
862301,21246,919,557
307091,4648,108,331
182957,28084,285,1485
123860,71,78,38
563070,11021,203,611
73537,1355,12,70
184465,5209,65,316
930765,35508,1632,3376
180649,3257,64,310
38310,4815,59,617
362202,3476,279,149
260838,4307,100,349
54138,5547,251,732
328875,0,0,459
46064,2698,63,194
55931,11724,28,1325
176695,13158,212,1318
47244,6257,21,1160
83429,2974,23,428
769416,43747,110,5863
301592,25319,594,8029
1972236,16885,842,1802
38570,5384,126,644
635694,13617,246,2046
269949,25460,105,1513
642476,29624,134,5156
929913,0,0,785
161859,17317,129,614
93407,7977,221,559
768455,0,0,1597
756995,15241,176,876
109313,6917,136,0
79878,9088,29,843
956190,0,0,8815
88577,5870,48,416
637691,38479,2197,3908
195054,9965,59,738
200495,6605,142,1294
867845,40942,1759,4619
167928,9074,352,484
660229,13653,429,0
587292,15664,547,273
52118,797,27,24
91999,19349,78,738
122943,1887,120,502
687740,5039,222,290
920682,26460,415,3482
270014,48836,823,19002
177896,9676,43,647
1199565,0,0,2048
745643,34590,1550,2083
172599,8288,296,540
1702826,16243,791,2646
1514987,42664,1370,3393
453040,26633,285,2043
2795054,81511,1553,6261
3499372,47783,1644,1737
45003,3773,99,598
2135918,0,0,2306
634930,0,0,1138
914551,0,0,1512
299362,22485,221,822
577916,9683,264,700
62310,4357,159,649
43009,1533,45,230
181414,5265,79,506
1005035,70922,1637,6563
1096736,35925,1236,2000
196373,31125,195,1711
132889,19324,103,753
182153,18328,221,3473
190882,9223,460,1620
24572,2717,78,315
1164138,77132,649,2572
690809,3171,633,324
175282,6554,798,521
1487907,17048,279,2104
815729,25196,271,4057
4649389,41999,1008,1287
56779,4467,87,368
1876055,11249,1025,1562
131231,3932,36,138
45643,2767,29,186
103777,5376,76,525
51034,832,20,0
1322288,17483,567,1835
507950,18760,565,2383
552219,43126,283,3472
782508,13523,218,961
273063,23242,264,2317
754301,33064,1117,1466
2725876,93509,2137,23241
150526,29128,81,642
1464721,28123,577,2753
302579,17147,857,1418
197785,2637,87,349
154471,1158,83,111
1436017,20050,563,1642
53794,670,16,25
479647,36171,1331,9892
196957,12694,730,1268
3884149,142442,2142,6272
661449,27475,78,2822
549709,5603,217,582
253748,11682,77,657
411171,38117,603,6005
125690,9146,87,497
308183,47529,785,6371
130917,10809,206,647
62506,5312,19,239
308397,17187,88,0
175910,0,0,187
1194294,8236,625,1303
244827,6901,114,857
427419,3832,467,116
553110,33992,1113,2652
312583,29545,370,2187
709154,10750,123,1196
249621,3801,497,99
960366,17817,231,1011
146876,3872,65,374
256983,27199,267,2801
1044740,83053,1299,3922
584022,3894,233,124
919249,17365,287,2390
9094409,247480,3963,11851
81634,2496,26,76
351413,12640,94,1060
219128,11263,635,897
1681089,61011,958,3701
53807,4428,12,602
2264441,16302,289,1966
281467,13156,131,678
143356,12214,163,849
59706,5033,26,328
283046,22049,731,1660
156719,4368,89,202
304742,11439,220,708
197975,22077,792,1762
50602,4497,85,267
188762,2940,43,474
1508760,43685,814,3613
152817,1317,170,177
76874,3249,26,190
71053,5990,60,482
82858,6723,150,507
114794,6227,76,713
56396,1437,59,41
604737,18259,226,1273
603862,40965,609,3137
43214,5400,31,269
52665,5101,192,621
432653,5042,238,279
752374,37347,2542,3663
117898,4090,64,377
1391761,10977,565,5119
269987,3594,364,161
148655,24398,251,1950
202882,6517,26,255
35178,8163,34,1266
551169,11100,685,331
848345,78333,238,3395
1877876,27696,603,2516
323042,9220,130,2705
109708,10641,131,468
128483,1239,369,394
147672,6583,66,329
78331,9032,93,528
151193,3692,66,237
426174,24532,172,4871
947665,14755,255,1235
83918,8644,89,311
206969,5383,105,366
35286,5546,153,969
44274,3235,73,0
2559561,23315,1452,14577
114809,9307,161,453
1292707,21245,359,1294
99109,8153,69,497
404403,6518,277,56
471202,0,0,846
68558,4037,32,292
868156,11042,269,2935
492573,24443,1090,1523
149056,7429,72,299
107823,10410,75,415
140917,8526,62,1224
66076,3897,58,0
66813,11729,48,1555
1485263,20218,484,1530
26199,2723,33,255
3723862,130623,1927,5662
285866,18429,226,1951
87415,6249,196,206
256347,2830,140,383
442868,13230,104,1064
175901,23050,362,6974
116269,18963,212,1121
1494111,0,0,1315
121234,4376,246,148
581088,11474,163,1579
497365,29693,344,2289
800239,19267,258,2050
134489,17013,185,797
297532,10587,196,1276
416321,13448,114,1768
439188,5440,144,500
130961,3836,52,166
903686,11524,428,0
731334,43410,1215,11836
1929250,44474,1247,4496
347963,1928,40,178
210790,10263,66,1289
154765,4005,96,194
32243,3421,64,133
862011,5335,267,507
1687480,64454,1362,3983
2988947,16346,762,6171
268460,29191,294,3218
250304,12034,112,706
390808,6599,142,1196
197189,2749,482,94
794427,24827,194,1484
907899,6718,726,1120
359446,3619,173,579
504457,9942,233,689
982285,18181,353,1143
430680,16864,193,1300
82034,4929,37,245
422196,7772,96,595
338520,4570,102,0
79956,2583,23,100
1341835,22840,271,5114
607785,12931,167,1262
218841,9901,42,595
415692,23176,882,1172
64900,1016,21,70
918799,56219,1631,5691
115520,2656,521,267
56188,6492,116,260
226381,39982,147,6523
55225,1978,94,240
207942,10418,982,1992
84695,12978,32,1321
84895,4194,117,501
2251577,18480,453,1041
97718,11315,52,658
1300609,11110,807,640
240518,8975,70,461
166505,11603,178,986
1071104,64343,729,8361
1711669,16880,1048,4009
58145,7166,152,316
227247,22765,265,689
162636,7508,162,852
407261,30069,627,6614
494670,4938,715,859
748468,49820,445,4714
1678436,31958,277,1988
739944,0,0,1278
86644,2992,24,359
842657,57127,426,16542
79859,612,23,129
56052,3330,208,0
2101690,34887,921,6223
1036535,7677,202,744
415868,20670,1857,680
500854,8105,339,1325
196628,5780,183,1362
251329,9925,90,579
5683778,229792,3325,20951
851622,13117,193,1304
1619589,108412,460,4252
63815,13240,56,2458
495784,16860,152,1466
249596,20818,412,5817
642367,35072,149,0
515516,6394,395,451
210017,6205,192,344
145377,16571,75,2504
448785,8163,332,2406
420717,9956,138,626
1038468,20142,502,1265
653241,20825,210,1625
50363,11064,14,2002
1045554,14151,345,1899
45095,2754,27,208
1001742,7252,586,655
894618,14981,311,380
106950,6471,55,544
74539,16472,40,1603
1434020,73043,5420,14673
85566,8822,207,550
31980,2929,31,311
395420,4762,297,303
905088,70564,1573,3898
819581,12139,324,1448
478394,0,0,752
205220,12377,51,699
242097,42539,341,3885
1082526,16813,246,1464
5562412,48197,1326,3305
1657918,16766,471,2836
368944,2973,174,620
413372,16532,93,797
170173,23396,100,1916
239660,13694,116,926
134831,10720,154,600
101814,6751,79,270
457725,42180,1273,3231
3216459,26009,1272,0
202802,28327,126,2084
241448,2314,26,0
1620002,29334,537,1125
70195,2795,13,148
91136,11068,41,966
594556,44753,464,6096
349197,12586,77,1164
106540,420,22,95
68561,4004,198,169
38413,4244,24,185
700422,70438,258,3447
569318,6563,201,1438
419732,30501,306,4485
227681,11012,373,1110
1168229,7288,70,495
406606,17253,101,1253
148518,2524,356,210
259759,8064,194,1051
171615,28471,139,1283
635402,14112,184,1046
159664,2575,40,120
96975,4530,64,614
212719,2443,161,209
425589,4878,172,598
397250,5087,262,307
321684,22366,198,2091
154893,6822,116,570
65288,3774,680,0
318403,23361,304,851
2324803,61136,432,3623
399860,14411,129,931
326736,9731,117,1196
279651,47589,381,5679
68409,2355,49,493
720161,4817,189,698
149082,4928,56,198
98756,13689,98,485